Palavra_correta,palavra_inicial,N_de_tentativas,Chutes,Vitoria
flora,serao,3,"('serao', 'loira', 'flora')",True
comum,serao,3,"('serao', 'docil', 'comum')",True
fatal,serao,4,"('serao', 'vital', 'natal', 'fatal')",True
pecar,serao,2,"('serao', 'pecar')",True
feroz,serao,3,"('serao', 'heroi', 'feroz')",True
virus,serao,2,"('serao', 'virus')",True
armar,serao,5,"('serao', 'citar', 'lunar', 'ambar', 'armar')",True
couro,serao,3,"('serao', 'litro', 'couro')",True
exito,serao,3,"('serao', 'etico', 'exito')",True
ecoar,serao,2,"('serao', 'ecoar')",True
balao,serao,3,"('serao', 'licao', 'balao')",True
falir,serao,3,"('serao', 'latir', 'falir')",True
tecer,serao,3,"('serao', 'medir', 'tecer')",True
arena,serao,4,"('serao', 'trela', 'areia', 'arena')",True
justo,serao,5,"('serao', 'nisto', 'custo', 'busto', 'justo')",True
arido,serao,3,"('serao', 'traco', 'arido')",True
ruiva,serao,4,"('serao', 'latir', 'ruina', 'ruiva')",True
mumia,serao,4,"('serao', 'cinta', 'duzia', 'mumia')",True
fogao,serao,4,"('serao', 'licao', 'tufao', 'fogao')",True
dupla,serao,4,"('serao', 'cinta', 'pluma', 'dupla')",True
touca,serao,3,"('serao', 'otica', 'touca')",True
sogro,serao,2,"('serao', 'sogro')",True
osseo,serao,3,"('serao', 'ileso', 'osseo')",True
treta,serao,4,"('serao', 'trela', 'trena', 'treta')",True
atomo,serao,4,"('serao', 'laico', 'agudo', 'atomo')",True
sadio,serao,3,"('serao', 'salto', 'sadio')",True
colon,serao,3,"('serao', 'docil', 'colon')",True
patio,serao,3,"('serao', 'laico', 'patio')",True
molas,serao,2,"('serao', 'molas')",True
certo,serao,2,"('serao', 'certo')",True
risco,serao,2,"('serao', 'risco')",True
bossa,serao,5,"('serao', 'coisa', 'lousa', 'nossa', 'bossa')",True
porre,serao,4,"('serao', 'norte', 'lorde', 'porre')",True
tigre,serao,3,"('serao', 'tripe', 'tigre')",True
vocal,serao,3,"('serao', 'bocal', 'vocal')",True
treze,serao,3,"('serao', 'tripe', 'treze')",True
sueco,serao,2,"('serao', 'sueco')",True
verbo,serao,5,"('serao', 'certo', 'lerdo', 'nervo', 'verbo')",True
latim,serao,3,"('serao', 'cinta', 'latim')",True
povos,serao,5,"('serao', 'mitos', 'nulos', 'pocos', 'povos')",True
longo,serao,4,"('serao', 'cinto', 'mundo', 'longo')",True
lotar,serao,2,"('serao', 'lotar')",True
depor,serao,3,"('serao', 'tenor', 'depor')",True
cento,serao,3,"('serao', 'leito', 'cento')",True
trava,serao,5,"('serao', 'latir', 'gruta', 'trama', 'trava')",True
latao,serao,3,"('serao', 'licao', 'latao')",True
ditos,serao,3,"('serao', 'mitos', 'ditos')",True
torax,serao,3,"('serao', 'coral', 'torax')",True
polir,serao,3,"('serao', 'licor', 'polir')",True
cacos,serao,4,"('serao', 'coisa', 'cabos', 'cacos')",True
tunel,serao,3,"('serao', 'clipe', 'tunel')",True
lindo,serao,3,"('serao', 'cinto', 'lindo')",True
pegar,serao,4,"('serao', 'pecar', 'penar', 'pegar')",True
pilar,serao,3,"('serao', 'citar', 'pilar')",True
passo,serao,3,"('serao', 'casto', 'passo')",True
piada,serao,4,"('serao', 'cinta', 'milha', 'piada')",True
puxar,serao,6,"('serao', 'citar', 'lunar', 'mudar', 'bufar', 'puxar')",True
tacas,serao,3,"('serao', 'dicas', 'tacas')",True
manta,serao,3,"('serao', 'cinta', 'manta')",True
barba,serao,4,"('serao', 'abril', 'burra', 'barba')",True
subir,serao,3,"('serao', 'sumir', 'subir')",True
tosse,serao,3,"('serao', 'poste', 'tosse')",True
adega,serao,5,"('serao', 'etica', 'plena', 'queda', 'adega')",True
veias,serao,4,"('serao', 'teias', 'meias', 'veias')",True
mesma,serao,4,"('serao', 'cesta', 'lesma', 'mesma')",True
mirim,serao,3,"('serao', 'viril', 'mirim')",True
mansa,serao,3,"('serao', 'mista', 'mansa')",True
nobre,serao,3,"('serao', 'comer', 'nobre')",True
grama,serao,5,"('serao', 'latir', 'praca', 'drama', 'grama')",True
ritmo,serao,3,"('serao', 'litro', 'ritmo')",True
samba,serao,3,"('serao', 'sutia', 'samba')",True
ardor,serao,4,"('serao', 'loira', 'autor', 'ardor')",True
daqui,serao,4,"('serao', 'cinta', 'habil', 'daqui')",True
bravo,serao,4,"('serao', 'traco', 'irado', 'bravo')",True
surfe,serao,2,"('serao', 'surfe')",True
tanto,serao,4,"('serao', 'laico', 'manto', 'tanto')",True
imune,serao,3,"('serao', 'clipe', 'imune')",True
lucro,serao,3,"('serao', 'litro', 'lucro')",True
finos,serao,5,"('serao', 'mitos', 'lidos', 'pinos', 'finos')",True
bocas,serao,5,"('serao', 'molas', 'todas', 'copas', 'bocas')",True
toldo,serao,3,"('serao', 'cinto', 'toldo')",True
major,serao,5,"('serao', 'loira', 'autor', 'vapor', 'major')",True
cabos,serao,3,"('serao', 'coisa', 'cabos')",True
estar,serao,2,"('serao', 'estar')",True
focal,serao,4,"('serao', 'bocal', 'vocal', 'focal')",True
acoes,serao,2,"('serao', 'acoes')",True
queda,serao,4,"('serao', 'etica', 'plena', 'queda')",True
juros,serao,6,"('serao', 'tiros', 'muros', 'duros', 'furos', 'juros')",True
elite,serao,3,"('serao', 'clipe', 'elite')",True
burro,serao,4,"('serao', 'turco', 'murro', 'burro')",True
fundo,serao,4,"('serao', 'cinto', 'mundo', 'fundo')",True
duelo,serao,3,"('serao', 'etico', 'duelo')",True
breve,serao,4,"('serao', 'tripe', 'creme', 'breve')",True
bolso,serao,4,"('serao', 'nisto', 'pulso', 'bolso')",True
linha,serao,4,"('serao', 'cinta', 'linda', 'linha')",True
parir,serao,5,"('serao', 'abril', 'guria', 'nariz', 'parir')",True
furar,serao,5,"('serao', 'viral', 'curar', 'durar', 'furar')",True
quina,serao,4,"('serao', 'cinta', 'unida', 'quina')",True
pasta,serao,4,"('serao', 'mista', 'casta', 'pasta')",True
suino,serao,2,"('serao', 'suino')",True
dosar,serao,4,"('serao', 'tosar', 'posar', 'dosar')",True
cervo,serao,3,"('serao', 'certo', 'cervo')",True
sujar,serao,3,"('serao', 'sacar', 'sujar')",True
corda,serao,3,"('serao', 'porta', 'corda')",True
macia,serao,4,"('serao', 'cinta', 'quica', 'macia')",True
reler,serao,4,"('serao', 'medir', 'tecer', 'reler')",True
musas,serao,4,"('serao', 'dicas', 'luvas', 'musas')",True
verme,serao,3,"('serao', 'cerne', 'verme')",True
focar,serao,5,"('serao', 'lotar', 'boiar', 'pomar', 'focar')",True
macas,serao,4,"('serao', 'dicas', 'tacas', 'macas')",True
nocao,serao,3,"('serao', 'licao', 'nocao')",True
anual,serao,4,"('serao', 'vital', 'bucal', 'anual')",True
aerea,serao,5,"('serao', 'certa', 'perua', 'verba', 'aerea')",True
cerco,serao,4,"('serao', 'certo', 'cervo', 'cerco')",True
socio,serao,4,"('serao', 'suino', 'sitio', 'socio')",True
porca,serao,3,"('serao', 'porta', 'porca')",True
fraco,serao,4,"('serao', 'traco', 'braco', 'fraco')",True
punho,serao,4,"('serao', 'cinto', 'mundo', 'punho')",True
acima,serao,4,"('serao', 'cinta', 'quica', 'acima')",True
varao,serao,4,"('serao', 'pirao', 'barao', 'varao')",True
bolha,serao,4,"('serao', 'otica', 'lomba', 'bolha')",True
tanga,serao,3,"('serao', 'cinta', 'tanga')",True
globo,serao,5,"('serao', 'cinto', 'duplo', 'lombo', 'globo')",True
rampa,serao,4,"('serao', 'latir', 'cabra', 'rampa')",True
goela,serao,4,"('serao', 'poeta', 'moela', 'goela')",True
reais,serao,2,"('serao', 'reais')",True
cheio,serao,3,"('serao', 'etico', 'cheio')",True
fosso,serao,5,"('serao', 'nisto', 'musgo', 'fosco', 'fosso')",True
pouco,serao,4,"('serao', 'cinto', 'louco', 'pouco')",True
danos,serao,5,"('serao', 'coisa', 'altos', 'panos', 'danos')",True
salas,serao,3,"('serao', 'sinal', 'salas')",True
mimar,serao,5,"('serao', 'citar', 'pilar', 'ninar', 'mimar')",True
sanha,serao,4,"('serao', 'sutia', 'samba', 'sanha')",True
oxido,serao,4,"('serao', 'cinto', 'umido', 'oxido')",True
suave,serao,3,"('serao', 'saude', 'suave')",True
epoca,serao,3,"('serao', 'poeta', 'epoca')",True
antro,serao,3,"('serao', 'traco', 'antro')",True
total,serao,3,"('serao', 'bocal', 'total')",True
joias,serao,5,"('serao', 'molas', 'todas', 'copas', 'joias')",True
polvo,serao,4,"('serao', 'cinto', 'duplo', 'polvo')",True
jejum,serao,3,"('serao', 'cetim', 'jejum')",True
atriz,serao,3,"('serao', 'abril', 'atriz')",True
recuo,serao,3,"('serao', 'reino', 'recuo')",True
ageis,serao,3,"('serao', 'aneis', 'ageis')",True
treno,serao,3,"('serao', 'treco', 'treno')",True
fluir,serao,3,"('serao', 'punir', 'fluir')",True
muito,serao,3,"('serao', 'cinto', 'muito')",True
opera,serao,2,"('serao', 'opera')",True
ficar,serao,4,"('serao', 'citar', 'picar', 'ficar')",True
bucha,serao,4,"('serao', 'cinta', 'ducha', 'bucha')",True
magro,serao,4,"('serao', 'traco', 'radio', 'magro')",True
frota,serao,4,"('serao', 'loira', 'troca', 'frota')",True
serie,serao,2,"('serao', 'serie')",True
acido,serao,3,"('serao', 'laico', 'acido')",True
apice,serao,3,"('serao', 'etica', 'apice')",True
lider,serao,4,"('serao', 'tripe', 'rimel', 'lider')",True
idoso,serao,3,"('serao', 'nisto', 'idoso')",True
multa,serao,3,"('serao', 'cinta', 'multa')",True
primo,serao,3,"('serao', 'litro', 'primo')",True
garca,serao,5,"('serao', 'abril', 'turma', 'carpa', 'garca')",True
banal,serao,4,"('serao', 'vital', 'bucal', 'banal')",True
juiza,serao,4,"('serao', 'cinta', 'duzia', 'juiza')",True
gorro,serao,6,"('serao', 'turco', 'lirio', 'morno', 'bordo', 'gorro')",False
sismo,serao,4,"('serao', 'suino', 'sitio', 'sismo')",True
merce,serao,3,"('serao', 'cerne', 'merce')",True
ponei,serao,3,"('serao', 'noite', 'ponei')",True
etapa,serao,3,"('serao', 'etica', 'etapa')",True
modas,serao,3,"('serao', 'molas', 'modas')",True
colar,serao,3,"('serao', 'lotar', 'colar')",True
muita,serao,3,"('serao', 'cinta', 'muita')",True
papel,serao,4,"('serao', 'etica', 'balde', 'papel')",True
ruela,serao,3,"('serao', 'trela', 'ruela')",True
meias,serao,3,"('serao', 'teias', 'meias')",True
gripe,serao,3,"('serao', 'tripe', 'gripe')",True
causa,serao,4,"('serao', 'mista', 'blusa', 'causa')",True
menor,serao,3,"('serao', 'tenor', 'menor')",True
nulos,serao,3,"('serao', 'mitos', 'nulos')",True
caule,serao,3,"('serao', 'etica', 'caule')",True
rubor,serao,6,"('serao', 'licor', 'pudor', 'tutor', 'humor', 'rubor')",True
optar,serao,3,"('serao', 'lotar', 'optar')",True
redor,serao,5,"('serao', 'tenor', 'depor', 'fedor', 'redor')",True
nacao,serao,4,"('serao', 'licao', 'nocao', 'nacao')",True
galho,serao,4,"('serao', 'laico', 'palmo', 'galho')",True
roubo,serao,5,"('serao', 'litro', 'prumo', 'rouco', 'roubo')",True
parto,serao,2,"('serao', 'parto')",True
cenas,serao,3,"('serao', 'teias', 'cenas')",True
podio,serao,5,"('serao', 'cinto', 'umido', 'idolo', 'podio')",True
lesar,serao,3,"('serao', 'retas', 'lesar')",True
telao,serao,2,"('serao', 'telao')",True
reuso,serao,3,"('serao', 'resto', 'reuso')",True
odiar,serao,3,"('serao', 'lotar', 'odiar')",True
usual,serao,3,"('serao', 'dicas', 'usual')",True
latir,serao,2,"('serao', 'latir')",True
altos,serao,3,"('serao', 'coisa', 'altos')",True
livre,serao,3,"('serao', 'tripe', 'livre')",True
vosso,serao,5,"('serao', 'nisto', 'musgo', 'fosco', 'vosso')",True
geada,serao,5,"('serao', 'celta', 'media', 'venda', 'geada')",True
etnia,serao,3,"('serao', 'etica', 'etnia')",True
trevo,serao,4,"('serao', 'treco', 'treno', 'trevo')",True
rezar,serao,6,"('serao', 'pecar', 'vetar', 'gelar', 'remar', 'rezar')",True
bucal,serao,3,"('serao', 'vital', 'bucal')",True
vetor,serao,3,"('serao', 'tenor', 'vetor')",True
filho,serao,4,"('serao', 'cinto', 'limpo', 'filho')",True
miolo,serao,5,"('serao', 'cinto', 'limpo', 'milho', 'miolo')",True
ordem,serao,3,"('serao', 'comer', 'ordem')",True
valor,serao,4,"('serao', 'loira', 'calor', 'valor')",True
filha,serao,5,"('serao', 'cinta', 'milha', 'pilha', 'filha')",True
antes,serao,3,"('serao', 'aneis', 'antes')",True
vetar,serao,3,"('serao', 'pecar', 'vetar')",True
surra,serao,3,"('serao', 'surda', 'surra')",True
prata,serao,4,"('serao', 'latir', 'gruta', 'prata')",True
ceder,serao,3,"('serao', 'medir', 'ceder')",True
pirao,serao,2,"('serao', 'pirao')",True
frear,serao,3,"('serao', 'areal', 'frear')",True
quilo,serao,4,"('serao', 'cinto', 'umido', 'quilo')",True
rombo,serao,4,"('serao', 'litro', 'prumo', 'rombo')",True
lomba,serao,3,"('serao', 'otica', 'lomba')",True
praia,serao,3,"('serao', 'latir', 'praia')",True
urnas,serao,3,"('serao', 'irmas', 'urnas')",True
aveia,serao,5,"('serao', 'etica', 'hiena', 'ideia', 'aveia')",True
picar,serao,3,"('serao', 'citar', 'picar')",True
arcar,serao,5,"('serao', 'citar', 'fucar', 'alcar', 'arcar')",True
unica,serao,3,"('serao', 'cinta', 'unica')",True
magoa,serao,4,"('serao', 'otica', 'lomba', 'magoa')",True
jaula,serao,5,"('serao', 'cinta', 'pluma', 'lauda', 'jaula')",True
gerar,serao,3,"('serao', 'geral', 'gerar')",True
trena,serao,3,"('serao', 'trela', 'trena')",True
gemer,serao,3,"('serao', 'medir', 'gemer')",True
riste,serao,2,"('serao', 'riste')",True
labio,serao,3,"('serao', 'laico', 'labio')",True
busto,serao,4,"('serao', 'nisto', 'custo', 'busto')",True
visar,serao,4,"('serao', 'irmas', 'pisar', 'visar')",True
velha,serao,3,"('serao', 'celta', 'velha')",True
aereo,serao,2,"('serao', 'aereo')",True
adaga,serao,4,"('serao', 'cinta', 'pluma', 'adaga')",True
crase,serao,3,"('serao', 'aries', 'crase')",True
feras,serao,2,"('serao', 'feras')",True
missa,serao,3,"('serao', 'mista', 'missa')",True
cobra,serao,3,"('serao', 'loira', 'cobra')",True
ideia,serao,4,"('serao', 'etica', 'hiena', 'ideia')",True
briga,serao,4,"('serao', 'latir', 'ruina', 'briga')",True
dardo,serao,5,"('serao', 'parto', 'barco', 'fardo', 'dardo')",True
berco,serao,3,"('serao', 'certo', 'berco')",True
palmo,serao,3,"('serao', 'laico', 'palmo')",True
ralar,serao,5,"('serao', 'citar', 'lunar', 'falar', 'ralar')",True
reles,serao,2,"('serao', 'reles')",True
blusa,serao,3,"('serao', 'mista', 'blusa')",True
super,serao,2,"('serao', 'super')",True
grata,serao,4,"('serao', 'latir', 'gruta', 'grata')",True
longa,serao,4,"('serao', 'otica', 'lomba', 'longa')",True
tarso,serao,2,"('serao', 'tarso')",True
vulto,serao,3,"('serao', 'cinto', 'vulto')",True
lenda,serao,3,"('serao', 'celta', 'lenda')",True
grego,serao,6,"('serao', 'treco', 'freio', 'dreno', 'prego', 'grego')",True
pinos,serao,4,"('serao', 'mitos', 'lidos', 'pinos')",True
fluor,serao,3,"('serao', 'licor', 'fluor')",True
obeso,serao,4,"('serao', 'ileso', 'coeso', 'obeso')",True
sauna,serao,3,"('serao', 'sutia', 'sauna')",True
assim,serao,3,"('serao', 'mista', 'assim')",True
troco,serao,4,"('serao', 'litro', 'truco', 'troco')",True
uteis,serao,2,"('serao', 'uteis')",True
infra,serao,4,"('serao', 'latir', 'ruina', 'infra')",True
pudor,serao,3,"('serao', 'licor', 'pudor')",True
cofre,serao,4,"('serao', 'comer', 'cobre', 'cofre')",True
prece,serao,3,"('serao', 'tripe', 'prece')",True
junho,serao,5,"('serao', 'cinto', 'mundo', 'punho', 'junho')",True
manco,serao,3,"('serao', 'laico', 'manco')",True
pisar,serao,3,"('serao', 'irmas', 'pisar')",True
posse,serao,3,"('serao', 'poste', 'posse')",True
copas,serao,4,"('serao', 'molas', 'todas', 'copas')",True
ninfa,serao,6,"('serao', 'cinta', 'linda', 'pinga', 'minha', 'ninfa')",True
gruta,serao,3,"('serao', 'latir', 'gruta')",True
regra,serao,5,"('serao', 'letra', 'beira', 'pedra', 'regra')",True
citar,serao,2,"('serao', 'citar')",True
mural,serao,3,"('serao', 'viral', 'mural')",True
giria,serao,4,"('serao', 'abril', 'guria', 'giria')",True
ruina,serao,3,"('serao', 'latir', 'ruina')",True
fases,serao,5,"('serao', 'aneis', 'males', 'gases', 'fases')",True
farao,serao,5,"('serao', 'pirao', 'barao', 'varao', 'farao')",True
miope,serao,3,"('serao', 'noite', 'miope')",True
mando,serao,4,"('serao', 'laico', 'manto', 'mando')",True
frios,serao,3,"('serao', 'ritos', 'frios')",True
gelar,serao,4,"('serao', 'pecar', 'vetar', 'gelar')",True
chave,serao,4,"('serao', 'etica', 'caule', 'chave')",True
sobra,serao,2,"('serao', 'sobra')",True
opaco,serao,3,"('serao', 'laico', 'opaco')",True
lagos,serao,5,"('serao', 'coisa', 'altos', 'lados', 'lagos')",True
corpo,serao,4,"('serao', 'turco', 'corno', 'corpo')",True
doses,serao,3,"('serao', 'poste', 'doses')",True
basco,serao,3,"('serao', 'casto', 'basco')",True
caida,serao,4,"('serao', 'cinta', 'clima', 'caida')",True
vinda,serao,4,"('serao', 'cinta', 'linda', 'vinda')",True
sujos,serao,3,"('serao', 'sucos', 'sujos')",True
igual,serao,3,"('serao', 'vital', 'igual')",True
lapis,serao,3,"('serao', 'mista', 'lapis')",True
julho,serao,5,"('serao', 'cinto', 'duplo', 'vulgo', 'julho')",True
acaso,serao,3,"('serao', 'casto', 'acaso')",True
dados,serao,6,"('serao', 'coisa', 'altos', 'panos', 'magos', 'dados')",True
favor,serao,5,"('serao', 'loira', 'autor', 'vapor', 'favor')",True
pente,serao,4,"('serao', 'cetim', 'lente', 'pente')",True
beata,serao,5,"('serao', 'celta', 'feita', 'menta', 'beata')",True
chulo,serao,3,"('serao', 'cinto', 'chulo')",True
rumos,serao,3,"('serao', 'ritos', 'rumos')",True
cubos,serao,4,"('serao', 'mitos', 'nulos', 'cubos')",True
tento,serao,5,"('serao', 'leito', 'cento', 'vento', 'tento')",True
toque,serao,3,"('serao', 'noite', 'toque')",True
polpa,serao,5,"('serao', 'otica', 'lomba', 'folga', 'polpa')",True
ombro,serao,4,"('serao', 'litro', 'couro', 'ombro')",True
raras,serao,3,"('serao', 'atras', 'raras')",True
pneus,serao,3,"('serao', 'uteis', 'pneus')",True
canil,serao,3,"('serao', 'cinta', 'canil')",True
funil,serao,3,"('serao', 'futil', 'funil')",True
perto,serao,3,"('serao', 'certo', 'perto')",True
coala,serao,3,"('serao', 'otica', 'coala')",True
amplo,serao,4,"('serao', 'laico', 'aluno', 'amplo')",True
orgia,serao,3,"('serao', 'loira', 'orgia')",True
doces,serao,3,"('serao', 'poste', 'doces')",True
sobre,serao,2,"('serao', 'sobre')",True
tedio,serao,3,"('serao', 'leito', 'tedio')",True
pinca,serao,3,"('serao', 'cinta', 'pinca')",True
motel,serao,3,"('serao', 'noite', 'motel')",True
trufa,serao,4,"('serao', 'latir', 'gruta', 'trufa')",True
voraz,serao,5,"('serao', 'coral', 'torax', 'morar', 'voraz')",True
azedo,serao,5,"('serao', 'aceno', 'apelo', 'afeto', 'azedo')",True
coeso,serao,3,"('serao', 'ileso', 'coeso')",True
acaro,serao,4,"('serao', 'traco', 'claro', 'acaro')",True
calmo,serao,3,"('serao', 'laico', 'calmo')",True
enfim,serao,3,"('serao', 'clipe', 'enfim')",True
mitos,serao,2,"('serao', 'mitos')",True
feios,serao,3,"('serao', 'meios', 'feios')",True
palha,serao,4,"('serao', 'cinta', 'pluma', 'palha')",True
andar,serao,4,"('serao', 'citar', 'lunar', 'andar')",True
crepe,serao,3,"('serao', 'tripe', 'crepe')",True
pingo,serao,4,"('serao', 'cinto', 'lindo', 'pingo')",True
avela,serao,4,"('serao', 'etica', 'plena', 'avela')",True
malte,serao,3,"('serao', 'etica', 'malte')",True
saida,serao,4,"('serao', 'sutia', 'sigla', 'saida')",True
monge,serao,5,"('serao', 'noite', 'conde', 'longe', 'monge')",True
salto,serao,2,"('serao', 'salto')",True
lotus,serao,3,"('serao', 'mitos', 'lotus')",True
rimel,serao,3,"('serao', 'tripe', 'rimel')",True
lauda,serao,4,"('serao', 'cinta', 'pluma', 'lauda')",True
damas,serao,4,"('serao', 'dicas', 'dunas', 'damas')",True
sadia,serao,3,"('serao', 'sutia', 'sadia')",True
truco,serao,3,"('serao', 'litro', 'truco')",True
serio,serao,2,"('serao', 'serio')",True
oeste,serao,3,"('serao', 'meios', 'oeste')",True
selva,serao,3,"('serao', 'seita', 'selva')",True
reter,serao,4,"('serao', 'medir', 'tecer', 'reter')",True
bolsa,serao,4,"('serao', 'coisa', 'lousa', 'bolsa')",True
anexo,serao,3,"('serao', 'aceno', 'anexo')",True
renda,serao,3,"('serao', 'letra', 'renda')",True
lobos,serao,4,"('serao', 'mitos', 'nulos', 'lobos')",True
vicio,serao,4,"('serao', 'cinto', 'bicho', 'vicio')",True
zebra,serao,4,"('serao', 'letra', 'beira', 'zebra')",True
modos,serao,3,"('serao', 'mitos', 'modos')",True
praxe,serao,4,"('serao', 'trela', 'grade', 'praxe')",True
pudim,serao,4,"('serao', 'futil', 'cupim', 'pudim')",True
birra,serao,3,"('serao', 'abril', 'birra')",True
praca,serao,3,"('serao', 'latir', 'praca')",True
pedra,serao,4,"('serao', 'letra', 'beira', 'pedra')",True
olhar,serao,3,"('serao', 'lotar', 'olhar')",True
pizza,serao,5,"('serao', 'cinta', 'milha', 'piada', 'pizza')",True
banho,serao,5,"('serao', 'laico', 'manto', 'bando', 'banho')",True
bucho,serao,4,"('serao', 'cinto', 'louco', 'bucho')",True
afins,serao,4,"('serao', 'mista', 'lapis', 'afins')",True
maior,serao,3,"('serao', 'loira', 'maior')",True
cabra,serao,3,"('serao', 'latir', 'cabra')",True
visao,serao,3,"('serao', 'cisao', 'visao')",True
irado,serao,3,"('serao', 'traco', 'irado')",True
razao,serao,4,"('serao', 'irmao', 'racao', 'razao')",True
macio,serao,3,"('serao', 'laico', 'macio')",True
troca,serao,3,"('serao', 'loira', 'troca')",True
salmo,serao,3,"('serao', 'salto', 'salmo')",True
casta,serao,3,"('serao', 'mista', 'casta')",True
midia,serao,4,"('serao', 'cinta', 'milha', 'midia')",True
trupe,serao,3,"('serao', 'tripe', 'trupe')",True
morna,serao,4,"('serao', 'porta', 'corda', 'morna')",True
falso,serao,4,"('serao', 'casto', 'lapso', 'falso')",True
lidar,serao,4,"('serao', 'citar', 'pilar', 'lidar')",True
afeto,serao,4,"('serao', 'aceno', 'apelo', 'afeto')",True
verso,serao,2,"('serao', 'verso')",True
belos,serao,4,"('serao', 'meios', 'pelos', 'belos')",True
pareo,serao,3,"('serao', 'aureo', 'pareo')",True
video,serao,3,"('serao', 'etico', 'video')",True
denso,serao,3,"('serao', 'cesto', 'denso')",True
heroi,serao,2,"('serao', 'heroi')",True
moeda,serao,4,"('serao', 'poeta', 'moela', 'moeda')",True
vaiar,serao,6,"('serao', 'citar', 'impar', 'guiar', 'aliar', 'vaiar')",True
copia,serao,3,"('serao', 'otica', 'copia')",True
cocar,serao,6,"('serao', 'lotar', 'boiar', 'pomar', 'focar', 'cocar')",True
aulas,serao,4,"('serao', 'dicas', 'luvas', 'aulas')",True
ganho,serao,5,"('serao', 'laico', 'manto', 'bando', 'ganho')",True
chapa,serao,5,"('serao', 'cinta', 'calma', 'chuva', 'chapa')",True
garra,serao,6,"('serao', 'abril', 'turma', 'carpa', 'farda', 'garra')",False
velho,serao,3,"('serao', 'leito', 'velho')",True
grilo,serao,3,"('serao', 'litro', 'grilo')",True
sigma,serao,4,"('serao', 'sutia', 'sigla', 'sigma')",True
farsa,serao,2,"('serao', 'farsa')",True
sigla,serao,3,"('serao', 'sutia', 'sigla')",True
clone,serao,3,"('serao', 'noite', 'clone')",True
cesta,serao,2,"('serao', 'cesta')",True
anjos,serao,5,"('serao', 'coisa', 'altos', 'ambos', 'anjos')",True
rugir,serao,4,"('serao', 'punir', 'fugir', 'rugir')",True
luzes,serao,3,"('serao', 'uteis', 'luzes')",True
ardua,serao,4,"('serao', 'latir', 'praca', 'ardua')",True
parvo,serao,5,"('serao', 'parto', 'parco', 'pardo', 'parvo')",True
censo,serao,3,"('serao', 'cesto', 'censo')",True
virar,serao,3,"('serao', 'viral', 'virar')",True
apito,serao,3,"('serao', 'laico', 'apito')",True
